page_id,section,title,city,state,zip,type,written,drew_one,source_rows
breweries/2c-family-brewing-co,breweries,2C Family Brewing Co.,Nampa,ID,83651,Taproom,2020-02-01,Not recorded,2305
breweries/2kids-brewing-company,breweries,2Kids Brewing Company,San Diego,CA,92126,Taproom,2020-04-11,Not recorded,849
breweries/2nd-act-beer,breweries,2nd Act Beer,Dover,NJ,07801,Contract,2020-03-03,Not recorded,4647
breweries/2nd-bridge-brewing-co,breweries,2nd Bridge Brewing Co,Manchester,CT,06042,Taproom,2020-03-03,Not recorded,1630
breweries/2nd-shift-brewing-co,breweries,2nd Shift Brewing Co,Saint Louis,MO,63110,Micro,2020-04-11,Not recorded,3990
breweries/2sp-brewing-company,breweries,2SP Brewing Company,Aston,PA,19014,Micro,2020-03-03,Not recorded,5961
breweries/3-daughters-brewing,breweries,3 Daughters Brewing,Saint Petersburg,FL,33712,Regional,2020-03-03,Not recorded,1960
breweries/3-disciples-brewing,breweries,3 Disciples Brewing,Santa Rosa,CA,95401,Proprietor,2020-03-03,Not recorded,1013
breweries/3-freaks-brewing-co,breweries,3 Freaks Brewing Co,Highlands Ranch,CO,80126,Taproom,2020-04-11,Not recorded,1463
breweries/3-sheeps-brewing-co,breweries,3 Sheeps Brewing Co,Sheboygan,WI,53083,Micro,2020-03-03,Not recorded,7860
breweries/3-sheets-brewery,breweries,3 Sheets Brewery,Albany,OR,97321,Taproom,2020-03-03,Not recorded,5650
breweries/3-sons-brewing-co,breweries,3 Sons Brewing Co.,Dania Beach,FL,33004,Taproom,2020-03-03,Not recorded,1774
breweries/3rd-act-craft-brewery,breweries,3rd Act Craft Brewery,Woodbury,MN,55129,Taproom,2020-04-11,Not recorded,3895
breweries/3rd-degree-brewhouse,breweries,3rd Degree Brewhouse,Fuquay Varina,NC,27526,Micro,2020-04-11,Not recorded,4282
breweries/3rd-planet-brewing,breweries,3rd Planet Brewing,Niceville,FL,32578,Micro,2020-02-07,Not recorded,1897
breweries/3rd-turn-oldham-gardens,breweries,3rd Turn Oldham Gardens,Crestwood,KY,40014,Taproom,2020-03-03,Not recorded,2838
breweries/4-hands-brewing-co,breweries,4 Hands Brewing Co,Saint Louis,MO,63104,Regional,2019-11-27,Not recorded,3978
breweries/4-noses-brewing-company,breweries,4 Noses Brewing Company,Broomfield,CO,80021,Micro,2020-03-03,Not recorded,1225
breweries/405-brewing-co,breweries,(405) Brewing Co,Norman,OK,73069,Taproom,yes,Yes,5616
breweries/412-brews,breweries,412 Brews,Pittsburgh,PA,15233,Micro,2020-04-11,Not recorded,6242
breweries/4204-main-street-brewing-co,breweries,4204 Main Street Brewing Co,Belleville,IL,62223,Brewpub,2019-11-27,Not recorded,2335
breweries/450-north-brewing-company-simmons-winery,breweries,450 North Brewing Company @ Simmons Winery,Columbus,IN,47203,Brewpub,2020-02-07,Not recorded,2617
breweries/47-hills-brewing-co,breweries,47 Hills Brewing Co,South San Francisco,CA,94080,Brewpub,2020-02-07,Not recorded,1053
breweries/49th-state-brewing-co,breweries,49th State Brewing Co,Anchorage,AK,99501,Brewpub,2019-11-03,Not recorded,3
breweries/49th-state-brewing-co-anchorage,breweries,49th State Brewing Co - Anchorage,Anchorage,AK,99501,Brewpub,2019-11-03,Not recorded,4
breweries/4j-brewing-company,breweries,4J Brewing Company,Houston,TX,77055,Brewpub,2019-11-27,Not recorded,6757
